zip,city,state,lat,long
10001,new york,NY,40.75061,-73.99716
10002,new york,NY,40.71586,-73.98613
10003,new york,NY,40.7318,-73.98911
10004,new york,NY,40.69465,-74.02106
10005,new york,NY,40.70616,-74.00907
10006,new york,NY,40.70968,-74.01284
10007,new york,NY,40.71394,-74.00763
10008,new york,NY,40.71394,-74.00763
10009,new york,NY,40.72664,-73.97858
10010,new york,NY,40.73914,-73.98255
10011,new york,NY,40.74187,-74.00052
10012,new york,NY,40.72563,-73.99803
10013,new york,NY,40.72014,-74.00476
10014,new york,NY,40.73367,-74.0069
10015,new york,NY,40.73367,-74.0069
10016,new york,NY,40.74517,-73.97834
10017,new york,NY,40.7523,-73.97249
10018,new york,NY,40.75546,-73.99334
10019,new york,NY,40.7657,-73.98706
10020,new york,NY,40.75906,-73.98026
10021,new york,NY,40.76939,-73.95871
10022,new york,NY,40.75863,-73.96787
10023,new york,NY,40.77601,-73.98269
10024,new york,NY,40.79227,-73.97482
10025,new york,NY,40.79857,-73.96659
10026,new york,NY,40.80245,-73.9526
10027,new york,NY,40.81184,-73.9534
10028,new york,NY,40.7763,-73.95372
10029,new york,NY,40.79173,-73.94396
10030,new york,NY,40.81823,-73.94288
10031,new york,NY,40.82519,-73.95013
10032,new york,NY,40.83884,-73.94279
10033,new york,NY,40.8506,-73.93391
10034,new york,NY,40.86716,-73.92411
10035,new york,NY,40.7955,-73.92968
10036,new york,NY,40.75924,-73.98982
10037,new york,NY,40.81286,-73.93739
10038,new york,NY,40.7092,-74.00284
10039,new york,NY,40.83076,-73.93619
10040,new york,NY,40.85821,-73.93053
10041,new york,NY,40.85821,-73.93053
10043,new york,NY,40.85821,-73.93053
10044,new york,NY,40.76166,-73.95017
10045,new york,NY,40.76166,-73.95017
10046,new york,NY,40.76166,-73.95017
10047,new york,NY,40.76166,-73.95017
10048,new york,NY,40.76166,-73.95017
10055,new york,NY,40.76166,-73.95017
10060,new york,NY,40.76166,-73.95017
10065,new york,NY,40.76474,-73.96314
10069,new york,NY,40.77606,-73.99025
10072,new york,NY,40.77606,-73.99025
10075,new york,NY,40.77335,-73.95622
10079,new york,NY,40.77335,-73.95622
10080,new york,NY,40.77335,-73.95622
10081,new york,NY,40.77335,-73.95622
10082,new york,NY,40.77335,-73.95622
10087,new york,NY,40.77335,-73.95622
10090,new york,NY,40.77335,-73.95622
10094,new york,NY,40.77335,-73.95622
10095,new york,NY,40.77335,-73.95622
10096,new york,NY,40.77335,-73.95622
10098,new york,NY,40.77335,-73.95622
10099,new york,NY,40.77335,-73.95622
10101,new york,NY,40.77335,-73.95622
10102,new york,NY,40.77335,-73.95622
10103,new york,NY,40.76078,-73.97767
10104,new york,NY,40.76078,-73.97767
10105,new york,NY,40.76078,-73.97767
10106,new york,NY,40.76078,-73.97767
10107,new york,NY,40.76078,-73.97767
10108,new york,NY,40.76078,-73.97767
10109,new york,NY,40.76078,-73.97767
10110,new york,NY,40.7545,-73.98226
10111,new york,NY,40.75892,-73.97746
10112,new york,NY,40.75917,-73.97967
10113,new york,NY,40.75917,-73.97967
10114,new york,NY,40.75917,-73.97967
10115,new york,NY,40.81085,-73.96374
10116,new york,NY,40.81085,-73.96374
10117,new york,NY,40.81085,-73.96374
10118,new york,NY,40.81085,-73.96374
10119,new york,NY,40.75031,-73.99298
10120,new york,NY,40.75031,-73.99298
10121,new york,NY,40.75031,-73.99298
10122,new york,NY,40.75031,-73.99298
10123,new york,NY,40.75031,-73.99298
10124,new york,NY,40.75031,-73.99298
10125,new york,NY,40.75031,-73.99298
10126,new york,NY,40.75031,-73.99298
10128,new york,NY,40.78138,-73.95015
10129,new york,NY,40.78138,-73.95015
10130,new york,NY,40.78138,-73.95015
10131,new york,NY,40.78138,-73.95015
10132,new york,NY,40.78138,-73.95015
10133,new york,NY,40.78138,-73.95015
10138,new york,NY,40.78138,-73.95015
10149,new york,NY,40.78138,-73.95015
10150,new york,NY,40.78138,-73.95015
10151,new york,NY,40.78138,-73.95015
10152,new york,NY,40.7584,-73.97203
10153,new york,NY,40.76362,-73.97244
10154,new york,NY,40.75778,-73.97249
10155,new york,NY,40.75778,-73.97249
10156,new york,NY,40.75778,-73.97249
10157,new york,NY,40.75778,-73.97249
10158,new york,NY,40.75778,-73.97249
10159,new york,NY,40.75778,-73.97249
10160,new york,NY,40.75778,-73.97249
10161,new york,NY,40.75778,-73.97249
10162,new york,NY,40.76931,-73.94993
10163,new york,NY,40.76931,-73.94993
10164,new york,NY,40.76931,-73.94993
10165,new york,NY,40.75213,-73.97872
10166,new york,NY,40.75213,-73.97872
10167,new york,NY,40.75479,-73.97495
10168,new york,NY,40.75145,-73.9771
10169,new york,NY,40.75439,-73.9761
10170,new york,NY,40.75263,-73.97588
10171,new york,NY,40.7559,-73.97386
10172,new york,NY,40.75527,-73.97431
10173,new york,NY,40.75413,-73.97936
10174,new york,NY,40.75144,-73.975
10175,new york,NY,40.75144,-73.975
10176,new york,NY,40.75144,-73.975
10177,new york,NY,40.75498,-73.97589
10178,new york,NY,40.75498,-73.97589
10179,new york,NY,40.75498,-73.97589
10184,new york,NY,40.75498,-73.97589
10185,new york,NY,40.75498,-73.97589
10196,new york,NY,40.75498,-73.97589
10197,new york,NY,40.75498,-73.97589
10199,new york,NY,40.75138,-73.99715
10200,new york,NY,40.75138,-73.99715
10203,new york,NY,40.75138,-73.99715
10211,new york,NY,40.75138,-73.99715
10212,new york,NY,40.75138,-73.99715
10213,new york,NY,40.75138,-73.99715
10242,new york,NY,40.75138,-73.99715
10249,new york,NY,40.75138,-73.99715
10256,new york,NY,40.75138,-73.99715
10257,new york,NY,40.75138,-73.99715
10258,new york,NY,40.75138,-73.99715
10259,new york,NY,40.75138,-73.99715
10260,new york,NY,40.75138,-73.99715
10261,new york,NY,40.75138,-73.99715
10265,new york,NY,40.75138,-73.99715
10268,new york,NY,40.75138,-73.99715
10269,new york,NY,40.75138,-73.99715
10270,new york,NY,40.75138,-73.99715
10271,new york,NY,40.70824,-74.01054
10272,new york,NY,40.70824,-74.01054
10273,new york,NY,40.70824,-74.01054
10274,new york,NY,40.70824,-74.01054
10275,new york,NY,40.70824,-74.01054
10276,new york,NY,40.70824,-74.01054
10277,new york,NY,40.70824,-74.01054
10278,new york,NY,40.71514,-74.00377
10279,new york,NY,40.71263,-74.00867
10280,new york,NY,40.71025,-74.01672
10281,new york,NY,40.71025,-74.01672
10282,new york,NY,40.71683,-74.01494
10285,new york,NY,40.71683,-74.01494
10286,new york,NY,40.71683,-74.01494
10292,new york,NY,40.71683,-74.01494
10301,staten island,NY,40.62846,-74.0962
10302,staten island,NY,40.63043,-74.13772
10303,staten island,NY,40.63239,-74.16905
10304,staten island,NY,40.60607,-74.09418
10305,staten island,NY,40.59532,-74.07544
10306,staten island,NY,40.57152,-74.12535
10307,staten island,NY,40.50794,-74.23965
10308,staten island,NY,40.55152,-74.15038
10309,staten island,NY,40.53132,-74.22056
10310,staten island,NY,40.63235,-74.11617
10311,staten island,NY,40.60525,-74.17961
10312,staten island,NY,40.54534,-74.18153
10313,staten island,NY,40.54534,-74.18153
10314,staten island,NY,40.59912,-74.16573
10451,bronx,NY,40.82077,-73.92387
10452,bronx,NY,40.83746,-73.9234
10453,bronx,NY,40.85231,-73.91353
10454,bronx,NY,40.80549,-73.91661
10455,bronx,NY,40.81478,-73.90862
10456,bronx,NY,40.83003,-73.90815
10457,bronx,NY,40.84713,-73.89871
10458,bronx,NY,40.86244,-73.88818
10459,bronx,NY,40.82585,-73.89289
10460,bronx,NY,40.84166,-73.87953
10461,bronx,NY,40.8474,-73.84066
10462,bronx,NY,40.84269,-73.8586
10463,bronx,NY,40.88081,-73.90661
10464,bronx,NY,40.86794,-73.80051
10465,bronx,NY,40.82391,-73.82298
10466,bronx,NY,40.89097,-73.84601
10467,bronx,NY,40.88085,-73.87394
10468,bronx,NY,40.86805,-73.90009
10469,bronx,NY,40.86862,-73.84813
10470,bronx,NY,40.89594,-73.86812
10471,bronx,NY,40.89947,-73.9018
10472,bronx,NY,40.8295,-73.8694
10473,bronx,NY,40.81817,-73.85876
10474,bronx,NY,40.81066,-73.8844
10475,bronx,NY,40.86953,-73.82532
10499,bronx,NY,40.86953,-73.82532
10501,amawalk,NY,41.29443,-73.76075
10502,ardsley,NY,41.01149,-73.84145
10503,ardsley on hudson,NY,41.0265,-73.87524
10504,armonk,NY,41.13121,-73.70587
10505,baldwin place,NY,41.3421,-73.74565
10506,bedford,NY,41.18883,-73.63392
10507,bedford hills,NY,41.22842,-73.68629
10509,brewster,NY,41.41174,-73.59437
10510,briarcliff manor,NY,41.14093,-73.83447
10511,buchanan,NY,41.26302,-73.94368
10512,carmel,NY,41.44924,-73.71211
10514,chappaqua,NY,41.17309,-73.7709
10516,cold spring,NY,41.45335,-73.90239
10517,crompond,NY,41.29822,-73.86194
10518,cross river,NY,41.26778,-73.60031
10519,croton falls,NY,41.35021,-73.6557
10520,croton on hudson,NY,41.22059,-73.87156
10521,croton on hudson,NY,41.22059,-73.87156
10522,dobbs ferry,NY,41.01226,-73.86479
10523,elmsford,NY,41.06,-73.81892
10524,garrison,NY,41.37063,-73.92197
10526,goldens bridge,NY,41.29108,-73.66782
10527,granite springs,NY,41.31913,-73.76446
10528,harrison,NY,40.97834,-73.72293
10530,hartsdale,NY,41.02341,-73.8077
10532,hawthorne,NY,41.09913,-73.80004
10533,irvington,NY,41.03836,-73.85569
10535,jefferson valley,NY,41.33516,-73.79933
10536,katonah,NY,41.26983,-73.68725
10537,lake peekskill,NY,41.33785,-73.88514
10538,larchmont,NY,40.93794,-73.75668
10540,lincolndale,NY,40.93794,-73.75668
10541,mahopac,NY,41.37973,-73.75123
10542,mahopac falls,NY,41.37973,-73.75123
10543,mamaroneck,NY,40.95199,-73.73553
10545,maryknoll,NY,41.17861,-73.83549
10546,millwood,NY,41.19552,-73.79992
10547,mohegan lake,NY,41.31169,-73.84622
10548,montrose,NY,41.24716,-73.93502
10549,mount kisco,NY,41.20069,-73.72097
10550,mount vernon,NY,40.90637,-73.83504
10551,mount vernon,NY,40.90637,-73.83504
10552,mount vernon,NY,40.92385,-73.825
10553,mount vernon,NY,40.90854,-73.82173
10557,mount vernon,NY,40.90854,-73.82173
10558,mount vernon,NY,40.90854,-73.82173
10560,north salem,NY,41.33202,-73.60221
10562,ossining,NY,41.1924,-73.83098
10566,peekskill,NY,41.28919,-73.91845
10567,cortlandt manor,NY,41.28895,-73.89799
10570,pleasantville,NY,41.13006,-73.7872
10571,pleasantville,NY,41.13006,-73.7872
10572,pleasantville,NY,41.13006,-73.7872
10573,port chester,NY,41.0168,-73.67728
10576,pound ridge,NY,41.21337,-73.5737
10577,purchase,NY,41.03786,-73.71365
10578,purdys,NY,41.31739,-73.67448
10579,putnam valley,NY,41.3938,-73.83612
10580,rye,NY,40.97889,-73.69307
10583,scarsdale,NY,40.98924,-73.79309
10587,shenorock,NY,40.98924,-73.79309
10588,shrub oak,NY,41.33533,-73.82183
10589,somers,NY,41.32994,-73.69522
10590,south salem,NY,41.25395,-73.53734
10591,tarrytown,NY,41.08586,-73.84418
10594,thornwood,NY,41.11637,-73.77267
10595,valhalla,NY,41.08646,-73.78201
10596,verplanck,NY,41.25608,-73.95911
10597,waccabuc,NY,41.29406,-73.59682
10598,yorktown heights,NY,41.2819,-73.79328
10601,white plains,NY,41.03309,-73.76493
10602,white plains,NY,41.03309,-73.76493
10603,white plains,NY,41.05457,-73.7794
10604,west harrison,NY,41.05926,-73.73945
10605,white plains,NY,41.00919,-73.74605
10606,white plains,NY,41.02051,-73.77567
10607,white plains,NY,41.03953,-73.81113
10610,white plains,NY,41.03953,-73.81113
10701,yonkers,NY,40.94541,-73.88039
10702,yonkers,NY,40.94541,-73.88039
10703,yonkers,NY,40.95985,-73.88028
10704,yonkers,NY,40.91888,-73.86176
10705,yonkers,NY,40.91926,-73.88973
10706,hastings on hudson,NY,40.98976,-73.86752
10707,tuckahoe,NY,40.96054,-73.82274
10708,bronxville,NY,40.93816,-73.83075
10709,eastchester,NY,40.95459,-73.80935
10710,yonkers,NY,40.96732,-73.84713
10801,new rochelle,NY,40.91758,-73.7844
10802,new rochelle,NY,40.91758,-73.7844
10803,pelham,NY,40.9003,-73.80662
10804,new rochelle,NY,40.94913,-73.78636
10805,new rochelle,NY,40.89645,-73.7804
10901,suffern,NY,41.13878,-74.11613
10910,arden,NY,41.27707,-74.13522
10911,bear mountain,NY,41.31679,-74.00311
10912,bellvale,NY,41.31679,-74.00311
10913,blauvelt,NY,41.06885,-73.95552
10914,blooming grove,NY,41.416,-74.19953
10915,bullville,NY,41.54231,-74.35823
10916,campbell hall,NY,41.44214,-74.2487
10917,central valley,NY,41.32443,-74.11694
10918,chester,NY,41.3477,-74.2587
10919,circleville,NY,41.52853,-74.38315
10920,congers,NY,41.1529,-73.94055
10921,florida,NY,41.32976,-74.36387
10922,fort montgomery,NY,41.33358,-73.99474
10923,garnerville,NY,41.20235,-73.9998
10924,goshen,NY,41.37946,-74.34667
10925,greenwood lake,NY,41.2101,-74.30328
10926,harriman,NY,41.30164,-74.12447
10927,haverstraw,NY,41.19257,-73.96708
10928,highland falls,NY,41.35342,-73.99772
10930,highland mills,NY,41.36485,-74.11533
10931,hillburn,NY,41.14745,-74.16456
10932,howells,NY,41.48207,-74.46457
10933,johnson,NY,41.36525,-74.51418
10940,middletown,NY,41.45119,-74.47016
10941,middletown,NY,41.48859,-74.34497
10943,middletown,NY,41.48859,-74.34497
10949,monroe,NY,41.48859,-74.34497
10950,monroe,NY,41.31839,-74.19884
10952,monsey,NY,41.1136,-74.07944
10953,mountainville,NY,41.40504,-74.07746
10954,nanuet,NY,41.09996,-74.01276
10956,new city,NY,41.1569,-73.99438
10958,new hampton,NY,41.37338,-74.43043
10959,new milford,NY,41.37338,-74.43043
10960,nyack,NY,41.09202,-73.92584
10962,orangeburg,NY,41.04906,-73.95913
10963,otisville,NY,41.46332,-74.54425
10964,palisades,NY,41.01624,-73.91438
10965,pearl river,NY,41.06179,-74.01279
10968,piermont,NY,41.03936,-73.91777
10969,pine island,NY,41.29256,-74.48881
10970,pomona,NY,41.18792,-74.07777
10973,slate hill,NY,41.38494,-74.47609
10974,sloatsburg,NY,41.168,-74.17821
10975,southfields,NY,41.25801,-74.17403
10976,sparkill,NY,41.02857,-73.92631
10977,spring valley,NY,41.11767,-74.04813
10979,sterling forest,NY,41.18272,-74.31501
10980,stony point,NY,41.23609,-74.04651
10981,sugar loaf,NY,41.23609,-74.04651
10982,tallman,NY,41.23609,-74.04651
